;Участники
8234;1
8235;5
8236;5
8237;2
8238;5
8239;4
8240;1
8241;3
8242;4
8243;3
8244;7
8245;2
8246;4
8247;4
8248;4
8249;2
8250;2
8251;2
8252;2
8253;4
8254;3
8255;4
8256;5
8257;1
8258;2
8259;0
8260;0
8261;4
8262;5
8263;4
8264;4
8265;0
8266;2
8267;3
8268;2
8269;4
8270;4
8271;3
8272;2
8273;2
8274;3
8275;3
8276;4
8277;3
8278;2
8279;5
8280;3
8281;2
8282;4
8283;1
8284;2
8285;2
8286;4
8287;2
8288;2
8289;3
8290;1
8291;2
8292;4
8293;5
8294;4
8295;1
8296;2
8297;3
8298;4
8299;3
8300;2
8301;2
8302;4
8303;4
8304;2
8305;8
8306;1
8307;2
8308;6
8309;3
8310;3
8311;2
8312;4
8313;5
8314;5
8315;3
8316;6
8317;4
8318;2
8319;1
8320;4
8321;7
8322;3
8323;5
8324;6
8325;5
8326;2
8327;4
8328;1
8329;3
8330;4
8331;5
8332;3
8333;3
8334;3
8335;4
8336;2
8337;3
8338;3
8339;2
8340;2
8341;2
8342;5
8343;1
8344;2
8345;5
8346;2
8347;0
8348;6
8349;2
8350;2
8351;4
8352;4
8353;2
8354;5
8355;4
8356;2
8357;5
8358;4
8359;4
8360;1
8361;2
8362;2
8363;2
8364;1
8365;5
8366;3
8367;5
8368;2
8369;0
8370;2
8371;5
8372;2
8373;4
8374;2
8375;3
8376;4
8377;3
8378;4
8379;4
8380;5
8381;2
8382;4
8383;3
8384;4
8385;2
8386;3
8387;4
8388;4
8389;4
8390;1
8391;2
8392;2
8393;4
8394;3
8395;2
8396;3
8397;2
8398;5
8399;5
8400;1
8401;4
8402;2
8403;3
8404;3
8405;5
8406;3
8407;3
8408;1
8409;9
8410;5
8411;3
8412;2
8413;4
8414;4
8415;1
8416;3
8417;5
8418;2
8419;3
8420;4
8421;3
8422;1
8423;1
8424;2
8425;1
8426;1
8427;2
8428;2
8429;3
8430;1
8431;4
8432;3
8433;3
8434;4
8435;4
8436;2
8437;4
8438;2
8439;2
8440;3
8441;5
8442;4
8443;2
8444;7
8445;2
8446;2
8447;0
8448;5
8449;5
8450;3
8451;4
8452;4
8453;1
8454;1
8455;1
8456;2
8457;4
8458;4
8459;4
8460;7
8461;3
8462;3
8463;4
8464;4
8465;4
8466;4
8467;2
8468;1
8469;1
8470;0
8471;2
8472;1
8473;1
8474;6
8475;2
8476;5
8477;2
8478;3
8479;5
8480;6
8481;1
8482;4
8483;4
8484;0
8485;3
8486;5
8487;4
8488;3
8489;8
8490;7
8491;1
8492;2
8493;5
8494;3
8495;5
8496;1
8497;1
8498;2
8499;5
8500;2
8501;4
8502;2
8503;4
8504;2
8505;3
8506;6
8507;4
8508;1
8509;4
8510;2
8511;5
8512;1
8513;4
8514;3
8515;1
8516;1
8517;3
8518;1
8519;3
8520;8
8521;2
8522;2
8523;3
8524;3
8525;0
8526;4
8527;4
8528;3
8529;2
8530;6
8531;2
8532;4
8533;2
8534;2
8535;4
8536;2
8537;3
8538;4
8539;2
8540;2
8541;2
8542;4
8543;3
8544;5
8545;1
8546;2
8547;7
8548;4
8549;3
8550;3
8551;2
8552;1
8553;3
8554;6
8555;1
8556;5
8557;4
8558;4
8559;5
8560;5
8561;3
8562;3
8563;7
8564;6
8565;7
8566;2
8567;4
8568;2
8569;2
8570;2
8571;4
8572;2
8573;2
8574;2
8575;4
8576;2
8577;2
8578;2
8579;1
8580;2
8581;2
8582;4
8583;5
8584;2
8585;3
8586;4
8587;2
8588;4
8589;2
8590;4
8591;3
8592;3
8593;1
8594;2
8595;4
8596;3
8597;4
8598;5
8599;3
8600;2
8601;4
8602;5
8603;6
8604;4
8605;3
8606;2
8607;5
8608;0
8609;1
8610;2
8611;2
8612;4
8613;4
8614;4
8615;1
8616;2
8617;4
8618;4
8619;3
8620;3
8621;4
8622;2
8623;3
8624;1
8625;4
8626;1
8627;1
8628;4
8629;3
8630;4
8631;2
8632;5
8633;1
8634;5
8635;2
8636;6
8637;1
8638;1
8639;2
8640;0
8641;2
8642;3
8643;7
8644;3
8645;4
8646;4
8647;3
8648;4
8649;3
8650;2
8651;4
8652;1
8653;2
8654;6
8655;3
8656;1
8657;5
8658;0
8659;4
8660;1
8661;1
8662;4
8663;3
8664;3
8665;2
8666;4
8667;2
8668;0
8669;3
8670;1
8671;5
8672;1
8673;4
8674;2
8675;3
8676;2
8677;4
8678;3
8679;4
8680;3
8681;3
8682;3
8683;5
8684;5
8685;2
8686;2
8687;4
8688;1
8689;3
8690;5
8691;7
8692;4
8693;3
8694;1
8695;5
8696;4
8697;3
8698;5
8699;3
8700;5
8701;2
8702;5
8703;5
8704;2
8705;3
8706;1
8707;4
8708;4
8709;4
8710;3
8711;4
8712;6
8713;5
8714;3
8715;4
8716;4
8717;4
8718;2
8719;4
8720;3
8721;5
8722;4
8723;0
8724;1
8725;2
8726;3
8727;3
8728;1
8729;6
8730;2
8731;5
8732;4
8733;4
8734;8
8735;3
8736;1
8737;10
8738;3
8739;4
8740;5
8741;4
8742;5
8743;1
8744;1
8745;3
8746;1
8747;5
8748;2
8749;1
8750;6
8751;3
8752;2
8753;5
8754;1
8755;3
8756;4
8757;3
8758;2
8759;2
8760;7
8761;4
8762;3
8763;2
8764;4
8765;1
8766;3
8767;3
8768;2
8769;3
8770;3
8771;5
8772;3
8773;1
8774;4
8775;2
8776;5
8777;1
8778;4
8779;5
8780;4
8781;1
8782;3
8783;2
8784;4
8785;4
8786;4
8787;4
8788;3
8789;4
8790;2
8791;2
8792;0
8793;5
8794;3
8795;6
8796;4
8797;6
8798;5
8799;3
8800;4
8801;2
8802;2
8803;3
8804;2
8805;2
8806;2
8807;4
8808;4
8809;2
8810;3
8811;1
8812;3
8813;0
8814;0
8815;4
8816;4
8817;3
8818;5
8819;2
8820;4
8821;2
8822;3
8823;1
8824;1
8825;5
8826;5
8827;1
8828;3
8829;7
8830;5
8831;2
8832;2
8833;10
8834;4
8835;3
8836;2
8837;5
8838;4
8839;3
8840;7
8841;4
8842;1
8843;2
8844;0
8845;6
8846;3
8847;2
8848;4
8849;5
8850;5
8851;4
8852;2
8853;3
8854;2
8855;1
8856;5
8857;5
8858;3
8859;3
8860;3
8861;2
8862;0
8863;2
8864;3
8865;1
8866;4
8867;4
8868;3
8869;4
8870;2
8871;4
8872;5
8873;2
8874;3
8875;5
8876;1
8877;2
8878;4
8879;4
8880;1
8881;4
8882;3
8883;3
8884;4
8885;4
8886;2
8887;1
8888;4
8889;3
8890;3
8891;2
8892;1
8893;2
8894;4
8895;0
8896;4
8897;0
8898;7
8899;2
8900;6
8901;1
8902;4
8903;2
8904;3
8905;5
8906;2
8907;1
8908;5
8909;2
8910;2
8911;5
8912;3
8913;5
8914;4
8915;3
8916;3
8917;6
8918;2
8919;4
8920;3
8921;2
8922;4
8923;3
8924;3
8925;4
8926;2
8927;5
8928;3
8929;3
8930;2
8931;2
8932;3
8933;3
8934;4
8935;4
8936;6
8937;3
8938;4
8939;4
8940;3
8941;3
8942;1
8943;2
8944;7
8945;7
8946;1
8947;3
8948;2
8949;6
8950;5
8951;1
8952;9
8953;4
8954;1
8955;2
8956;4
8957;1
8958;3
8959;4
8960;2
8961;1
8962;4
8963;2
8964;5
8965;3
8966;3
8967;1
8968;4
8969;7
8970;4
8971;3
8972;5
8973;4
8974;4
8975;3
8976;2
8977;2
8978;4
8979;3
8980;1
8981;2
8982;3
8983;1
8984;3
8985;5
8986;4
8987;2
8988;5
8989;2
8990;2
8991;2
8992;0
8993;5
8994;3
8995;5
8996;1
8997;5
8998;5
8999;1
9000;2
9001;3
9002;5
9003;4
9004;5
9005;0
9006;3
9007;1
9008;5
9009;2
9010;7
9011;6
9012;2
9013;3
9014;2
9015;6
9016;3
9017;3
9018;2
9019;3
9020;6
9021;3
9022;3
9023;8
9024;3
9025;5
9026;3
9027;2
9028;3
9029;2
9030;3
9031;4
9032;0
9033;3
9034;4
9035;6
9036;3
9037;1
9038;2
9039;3
9040;1
9041;8
9042;4
9043;4
9044;3
9045;2
9046;3
9047;6
9048;3
9049;2
9050;1
9051;2
9052;1
9053;2
9054;2
9055;3
9056;2
9057;5
9058;2
9059;4
9060;2
9061;4
9062;2
9063;3
9064;1
9065;3
9066;4
9067;5
9068;5
9069;4
9070;2
9071;3
9072;3
9073;2
9074;4
9075;6
9076;3
9077;4
9078;2
9079;3
9080;4
9081;3
9082;4
9083;7
9084;3
9085;4
9086;4
9087;5
9088;3
9089;3
9090;5
9091;1
9092;3
9093;3
9094;5
9095;1
9096;3
9097;0
9098;6
9099;1
9100;3
9101;4
9102;2
9103;3
9104;0
9105;5
9106;1
9107;2
9108;4
9109;3
9110;2
9111;2
9112;2
9113;3
9114;4
9115;1
9116;3
9117;3
9118;3
9119;3
9120;2
9121;4
9122;2
9123;6
9124;1
9125;4
9126;5
9127;3
9128;6
9129;3
9130;4
9131;4
9132;1
9133;3
9134;4
9135;3
9136;8
9137;4
9138;3
9139;3
9140;2
9141;3
9142;3
9143;7
9144;2
9145;4
9146;5
9147;1
9148;3
9149;2
9150;4
9151;5
9152;3
9153;7
9154;4
9155;6
9156;6
9157;5
9158;2
9159;2
9160;3
9161;3
9162;2
9163;4
9164;5
9165;1
9166;4
9167;4
9168;3
9169;0
9170;2
9171;3
9172;5
9173;1
9174;3
9175;4
9176;0
9177;2
9178;1
9179;2
9180;6
9181;1
9182;3
9183;2
9184;2
9185;3
9186;3
9187;5
9188;3
9189;2
9190;3
9191;3
9192;4
9193;1
9194;2
9195;2
9196;4
9197;5
9198;0
9199;3
9200;4
9201;4
9202;0
9203;6
9204;2
9205;5
9206;3
9207;5
9208;2
9209;5
9210;1
9211;2
9212;0
9213;3
9214;4
9215;5
9216;5
9217;2
9218;2
9219;4
9220;4
9221;3
9222;6
9223;4
9224;4
9225;2
9226;4
9227;3
9228;3
9229;3
9230;2
9231;4
9232;3
9233;3
9234;0
9235;3
9236;3
9237;4
9238;5
9239;2
9240;5
9241;4
9242;2
9243;4
9244;2
9245;5
9246;3
9247;2
9248;4
9249;3
9250;3
9251;4
9252;1
9253;1
9254;1
9255;3
9256;2
9257;1
9258;3
9259;4
9260;4
9261;2
9262;3
9263;2
9264;2
9265;3
9266;3
9267;3
9268;3
9269;0
9270;4
9271;5
9272;3
9273;3
9274;2
9275;4
9276;4
9277;4
9278;3
9279;5
9280;3
9281;0
9282;5
9283;4
9284;3
9285;3
9286;3
9287;1
9288;1
9289;4
9290;4
9291;3
9292;5
9293;5
9294;6
9295;5
9296;2
9297;3
9298;3
9299;5
9300;1
9301;1
9302;2
9303;2
9304;2
9305;4
9306;5
9307;2
9308;3
9309;5
9310;3
9311;3
9312;8
9313;4
9314;3
9315;6
9316;2
9317;3
9318;1
9319;2
9320;6
9321;1
9322;2
9323;3
9324;1
9325;8
9326;2
9327;4
9328;2
9329;2
9330;2
9331;6
9332;0
9333;2
9334;3
9335;3
9336;7
9337;4
9338;4
9339;5
9340;5
9341;2
9342;2
9343;7
9344;5
9345;4
9346;2
9347;3
9348;2
9349;3
9350;2
9351;4
9352;2
9353;1
9354;4
9355;3
9356;5
9357;5
9358;1
9359;3
9360;3
9361;3
9362;3
9363;2
9364;1
9365;5
9366;2
9367;4
9368;4
9369;3
9370;3
9371;2
9372;3
9373;3
9374;4
9375;5
9376;3
9377;4
9378;4
9379;5
9380;5
9381;6
9382;3
9383;4
9384;2
9385;1
9386;3
9387;3
9388;3
9389;2
9390;2
9391;4
9392;3
9393;3
9394;1
9395;3
9396;2
9397;3
9398;6
9399;4
9400;3
9401;2
9402;2
9403;6
9404;2
9405;2
9406;2
9407;4
9408;4
9409;6
9410;4
9411;1
9412;5
9413;4
9414;6
9415;1
9416;3
9417;6
9418;3
9419;2
9420;1
9421;4
9422;3
9423;6
9424;2
9425;2
9426;4
9427;5
9428;3
9429;5
9430;3
9431;3
9432;4
9433;2
9434;3
9435;0
9436;7
9437;0
9438;3
9439;2
9440;3
9441;3
9442;4
9443;1
9444;4
9445;3
9446;4
9447;5
9448;6
9449;3
9450;1
9451;1
9452;6
9453;5
9454;3
9455;4
9456;6
9457;1
9458;5
9459;0
9460;2
9461;4
9462;3
9463;4
9464;3
9465;2
9466;2
9467;4
9468;3
9469;3
9470;6
9471;3
9472;4
9473;3
9474;5
9475;5
9476;3
9477;3
9478;5
9479;4
9480;3
9481;1
9482;3
9483;3
9484;5
9485;3
9486;4
9487;3
9488;4
9489;3
9490;6
9491;2
9492;4
9493;4
9494;4
9495;2
9496;5
9497;2
9498;4
9499;6
9500;5
9501;4
9502;6
9503;5
9504;6
9505;2
9506;3
9507;2
9508;2
9509;4
9510;3
9511;9
9512;2
9513;3
9514;3
9515;4
9516;4
9517;5
9518;4
9519;1
9520;1
9521;4
9522;4
9523;2
9524;2
9525;3
9526;2
9527;0
9528;5
9529;3
9530;3
9531;4
9532;4
9533;4
9534;6
9535;1
9536;5
9537;1
9538;4
9539;1
9540;5
9541;2
9542;2
9543;1
9544;5
9545;3
9546;4
9547;5
9548;2
9549;2
9550;4
9551;4
9552;4
9553;4
9554;4
9555;4
9556;1
9557;5
9558;4
9559;1
9560;2
9561;3
9562;3
9563;1
9564;1
9565;2
9566;5
9567;4
9568;3
9569;3
9570;4
9571;3
9572;3
9573;4
9574;4
9575;5
9576;2
9577;6
9578;1
9579;5
9580;1
9581;2
9582;1
9583;5
9584;4
9585;3
9586;2
9587;5
9588;3
9589;3
9590;7
9591;3
9592;3
9593;6
9594;5
9595;2
9596;2
9597;2
9598;1
9599;5
9600;3
9601;1
9602;3
9603;1
9604;3
9605;4
9606;4
9607;5
9608;3
9609;5
9610;4
9611;1
9612;7
9613;7
9614;8
9615;3
9616;5
9617;6
9618;3
9619;10
9620;1
9621;3
9622;2
9623;2
9624;3
9625;3
9626;1
9627;3
9628;2
9629;2
9630;3
9631;6
9632;3
9633;1
9634;4
9635;1
9636;3
9637;6
9638;3
9639;5
9640;4
9641;3
9642;5
9643;4
9644;5
9645;5
9646;3
9647;1
9648;5
9649;4
9650;2
9651;2
9652;4
9653;3
9654;5
9655;2
9656;3
9657;1
9658;2
9659;3
9660;2
9661;2
9662;3
9663;4
9664;4
9665;1
9666;0
9667;4
9668;2
9669;4
9670;6
9671;4
9672;3
9673;1
9674;1
9675;2
9676;1
9677;0
9678;2
9679;4
9680;4
9681;3
9682;5
9683;3
9684;6
9685;5
9686;4
9687;2
9688;2
9689;3
9690;2
9691;6
9692;2
9693;4
9694;2
9695;2
9696;1
9697;2
9698;4
9699;6
9700;4
9701;6
9702;2
9703;3
9704;7
9705;2
9706;4
9707;4
9708;2
9709;2
9710;3
9711;1
9712;2
9713;2
9714;1
9715;0
9716;1
9717;2
9718;1
9719;3
9720;3
9721;5
9722;6
9723;3
9724;3
9725;0
9726;2
9727;6
9728;2
9729;3
9730;5
9731;2
9732;1
9733;2
9734;1
9735;4
9736;5
9737;3
9738;2
9739;3
9740;3
9741;1
9742;2
9743;1
9744;1
9745;3
9746;1
9747;4
9748;2
9749;4
9750;2
9751;4
9752;4
9753;2
9754;1
9755;5
9756;5
9757;2
9758;3
9759;2
9760;4
9761;3
9762;0
9763;0
9764;1
9765;3
9766;1
9767;3
9768;3
9769;1
9770;4
9771;8
9772;3
9773;3
9774;2
9775;6
9776;4
9777;3
9778;5
9779;3
9780;4
9781;3
9782;4
9783;2
9784;3
9785;2
9786;4
9787;2
9788;5
9789;4
9790;4
9791;4
9792;2
9793;5
9794;2
9795;2
9796;0
9797;1
9798;2
9799;5
9800;3
9801;1
9802;3
9803;3
9804;2
9805;2
9806;3
9807;3
9808;5
9809;2
9810;4
9811;5
9812;8
9813;5
9814;6
9815;4
9816;3
9817;3
9818;5
9819;2
9820;4
9821;2
9822;4
9823;4
9824;4
9825;4
9826;4
9827;7
9828;2
9829;5
9830;3
9831;5
9832;3
9833;2
9834;4
9835;1
9836;6
9837;4
9838;2
9839;4
9840;1
9841;2
9842;6
9843;5
9844;2
9845;2
9846;3
9847;5
9848;3
9849;2
9850;4
9851;5
9852;2
9853;2
9854;0
9855;1
9856;4
9857;3
9858;3
9859;5
9860;2
9861;4
9862;1
9863;4
9864;3
9865;4
9866;0
9867;3
9868;3
9869;4
9870;3
9871;3
9872;3
9873;2
9874;4
9875;3
9876;2
9877;2
9878;2
9879;3
9880;2
9881;3
9882;4
9883;0
9884;4
9885;3
9886;2
9887;4
9888;3
9889;5
9890;1
9891;3
9892;1
9893;2
9894;4
9895;2
9896;4
9897;4
9898;5
9899;2
9900;4
9901;2
9902;6
9903;2
9904;7
9905;0
9906;3
9907;6
9908;2
9909;8
9910;4
9911;2
9912;2
9913;4
9914;3
9915;2
9916;3
9917;7
9918;4
9919;6
9920;3
9921;1
9922;6
9923;3
9924;2
9925;4
9926;3
9927;2
9928;2
9929;3
9930;4
9931;3
9932;4
9933;4
9934;5
9935;1
9936;3
9937;1
9938;1
9939;2
9940;2
9941;3
9942;1
9943;3
9944;3
9945;5
9946;3
9947;3
9948;2
9949;2
9950;6
9951;2
9952;4
9953;2
9954;4
9955;2
9956;0
9957;5
9958;3
9959;5
9960;1
9961;1
9962;3
9963;3
9964;1
9965;5
9966;1
9967;3
9968;5
9969;3
9970;5
9971;5
9972;4
9973;4
9974;2
9975;3
9976;3
9977;5
9978;3
9979;2
9980;5
9981;2
9982;3
9983;1
9984;4
9985;3
9986;7
9987;2
9988;6
9989;5
9990;3
9991;3
9992;1
9993;1
9994;2
9995;4
9996;1
9997;3
9998;6
9999;3
10000;2
10001;2
10002;6
10003;2
10004;4
10005;6
10006;7
10007;3
10008;2
10009;2
10010;2
10011;2
10012;1
10013;4
10014;6
10015;4
10016;4
10017;2
10018;5
10019;4
10020;1
10021;5
10022;4
10023;3
10024;6
10025;4
10026;1
10027;3
10028;7
10029;1
10030;3
10031;2
10032;1
10033;5
10034;4
10035;4
10036;2
10037;3
10038;1
10039;8
10040;2
10041;3
10042;5
10043;1
10044;2
10045;2
10046;1
10047;6
10048;3
10049;3
10050;2
10051;1
10052;2
10053;2
10054;3
10055;2
10056;3
10057;1
10058;4
10059;2
10060;3
10061;3
10062;3
10063;2
10064;3
10065;5
10066;4
10067;2
10068;2
10069;3
10070;2
10071;1
10072;6
10073;4
10074;0
10075;4
10076;2
10077;3
10078;2
10079;6
10080;1
10081;5
10082;0
10083;8
10084;4
10085;1
10086;1
10087;5
10088;1
10089;5
10090;3
10091;4
10092;5
10093;4
10094;2
10095;4
10096;6
10097;2
10098;5
10099;3
10100;4
10101;5
10102;2
10103;3
10104;4
10105;3
10106;3
10107;2
10108;3
10109;1
10110;4
10111;4
10112;4
10113;1
10114;5
10115;2
10116;7
10117;3
10118;2
10119;1
10120;4
10121;3
10122;3
10123;3
10124;3
10125;5
10126;2
10127;2
10128;2
10129;5
10130;6
10131;3
10132;2
10133;5
10134;5
10135;4
10136;3
10137;2
10138;1
10139;3
10140;2
10141;3
10142;3
10143;3
10144;2
10145;3
10146;3
10147;2
10148;4
10149;3
10150;0
10151;7
10152;6
10153;3
10154;0
10155;4
10156;2
10157;3
10158;3
10159;2
10160;3
10161;3
10162;5
10163;5
10164;3
10165;1
10166;4
10167;1
10168;5
10169;4
10170;3
10171;1
10172;3
10173;1
10174;0
10175;3
10176;4
10177;3
10178;4
10179;0
10180;6
10181;1
10182;2
10183;3
10184;2
10185;3
10186;2
10187;6
10188;8
10189;2
10190;2
10191;2
10192;1
10193;2
10194;5
10195;1
10196;4
10197;4
10198;1
10199;5
10200;0
10201;3
10202;2
10203;5
10204;6
10205;2
10206;4
10207;2
10208;4
10209;3
10210;3
10211;3
10212;6
10213;4
10214;3
10215;1
10216;4
10217;1
10218;1
10219;6
10220;5
10221;3
10222;6
10223;3
10224;3
10225;7
10226;6
10227;2
10228;5
10229;2
10230;4
10231;4
10232;2
10233;4
10234;3
10235;3
10236;1
10237;3
10238;1
10239;4
10240;1
10241;2
10242;1
10243;3
10244;2
10245;6
10246;3
10247;4
10248;4
10249;3
10250;3
10251;3
10252;3
10253;3
10254;2
10255;6
10256;4
10257;1
10258;2
10259;3
10260;2
10261;3
10262;5
10263;2
10264;3
10265;3
10266;2
10267;2
10268;2
10269;5
10270;1
10271;3
10272;4
10273;5
10274;3
10275;3
10276;0
10277;2
10278;1
10279;3
10280;2
10281;1
10282;5
10283;4
10284;4
10285;3
10286;6
10287;4
10288;5
10289;4
10290;3
10291;3
10292;2
10293;4
10294;3
10295;3
10296;3
10297;5
10298;4
10299;3
10300;3
10301;4
10302;2
10303;5
10304;2
10305;4
10306;4
10307;2
10308;3
10309;5
10310;1
10311;2
10312;3
10313;6
10314;3
10315;4
10316;4
10317;2
10318;5
10319;2
10320;1
10321;5
10322;2
10323;6
10324;4
10325;5
10326;1
10327;5
10328;2
10329;5
10330;6
10331;1
10332;3
10333;5
10334;3
10335;4
10336;2
10337;1
10338;2
10339;5
10340;5
10341;3
10342;5
10343;4
10344;3
10345;3
10346;6
10347;4
10348;3
10349;5
10350;9
10351;4
10352;3
10353;5
10354;5
10355;3
10356;4
10357;3
10358;1
10359;8
10360;2
10361;1
10362;3
10363;5
10364;1
10365;5
10366;2
10367;1
10368;3
10369;3
10370;3
10371;2
10372;4
10373;5
10374;2
10375;3
10376;7
10377;3
10378;5
10379;7
10380;4
10381;3
10382;3
10383;3
10384;4
10385;1
10386;5
10387;1
10388;3
10389;4
10390;4
10391;4
10392;2
10393;2
10394;5
10395;5
10396;5
10397;2
10398;2
10399;5
10400;7
10401;4
10402;4
10403;2
10404;4
10405;2
10406;6
10407;2
10408;3
10409;2
10410;2
10411;1
10412;6
10413;1
10414;3
10415;3
10416;2
10417;3
10418;6
10419;5
10420;3
10421;3
10422;6
10423;4
10424;1
10425;3
10426;3
10427;4
10428;4
10429;3
10430;6
10431;4
10432;3
10433;4
10434;1
10435;4
10436;2
10437;2
10438;5
10439;1
10440;3
10441;6
10442;5
10443;4
10444;3
10445;4
10446;1
10447;4
10448;3
10449;1
10450;2
10451;2
10452;9
10453;2
10454;5
10455;3
10456;3
10457;5
10458;2
10459;3
10460;4
10461;5
10462;4
10463;5
10464;6
10465;6
10466;0
10467;4
10468;2
10469;2
10470;1
10471;5
10472;4
10473;3
10474;3
10475;3
10476;2
10477;4
10478;5
10479;6
10480;2
10481;2
10482;3
10483;3
10484;3
10485;4
10486;3
10487;4
10488;1
10489;8
10490;2
10491;6
10492;5
10493;3
10494;5
10495;4
10496;5
10497;3
10498;3
10499;3
10500;3
10501;3
10502;5
10503;1
10504;7
10505;3
10506;3
10507;3
10508;3
10509;3
10510;5
10511;5
10512;3
10513;2
10514;1
10515;4
10516;2
10517;6
10518;1
10519;5
10520;2
10521;4
10522;2
10523;3
10524;4
10525;1
10526;6
10527;5
10528;3
10529;7
10530;2
10531;2
10532;8
10533;2
10534;3
10535;4
10536;2
10537;2
10538;4
10539;6
10540;0
10541;1
10542;4
10543;3
10544;0
10545;4
10546;3
10547;3
10548;3
10549;6
10550;6
10551;4
10552;2
10553;5
10554;3
10555;4
10556;1
10557;1
10558;4
10559;4
10560;1
10561;6
10562;5
10563;3
10564;6
10565;4
10566;2
10567;2
10568;1
10569;8
10570;2
10571;3
10572;2
10573;5
10574;6
10575;4
10576;1
10577;1
10578;1
10579;0
10580;2
10581;0
10582;1
10583;4
10584;3
10585;3
10586;3
10587;3
10588;2
10589;5
10590;2
10591;2
10592;5
10593;3
10594;4
10595;0
10596;4
10597;3
10598;3
10599;1
10600;3
10601;3
10602;2
10603;4
10604;5
10605;4
10606;1
10607;2
10608;3
10609;1
10610;2
10611;5
10612;4
10613;3
10614;3
10615;2
10616;5
10617;2
10618;6
10619;1
10620;3
10621;2
10622;4
10623;1
10624;4
10625;1
10626;6
10627;2
10628;3
10629;2
10630;2
10631;4
10632;3
10633;4
10634;2
10635;4
10636;2
10637;3
10638;7
10639;4
10640;4
10641;3
10642;2
10643;1
10644;4
10645;2
10646;3
10647;5
10648;5
10649;3
10650;3
10651;2
10652;6
10653;1
10654;2
10655;4
10656;3
10657;2
10658;2
10659;1
10660;7
10661;1
10662;2
10663;1
10664;3
10665;4
10666;2
10667;5
10668;4
10669;7
10670;3
10671;1
10672;2
10673;2
10674;2
10675;6
10676;5
10677;6
10678;2
10679;3
10680;4
10681;4
10682;6
10683;4
10684;4
10685;1
10686;5
10687;2
10688;1
10689;5
10690;5
10691;3
10692;1
10693;2
10694;1
10695;4
10696;2
10697;5
10698;4
10699;2
10700;2
10701;4
10702;2
10703;3
10704;2
10705;2
10706;3
10707;2
10708;4
10709;3
10710;5
10711;4
10712;1
10713;3
10714;2
10715;4
10716;4
10717;6
10718;3
10719;1
10720;0
10721;1
10722;1
10723;3
10724;6
10725;1
10726;4
10727;4
10728;5
10729;5
10730;3
10731;2
10732;3
10733;5
10734;1
10735;3
10736;3
10737;1
10738;2
10739;4
10740;0
10741;3
10742;2
10743;6
10744;3
10745;4
10746;3
10747;2
10748;7
10749;2
10750;3
10751;2
10752;2
10753;3
10754;4
10755;3
10756;3
10757;4
10758;3
10759;1
10760;4
10761;5
10762;3
10763;5
10764;5
10765;8
10766;2
10767;1
10768;4
10769;1
10770;4
10771;4
10772;4
10773;2
10774;4
10775;1
10776;2
10777;3
10778;5
10779;4
10780;7
10781;4
10782;6
10783;3
10784;3
10785;3
10786;6
10787;2
10788;3
10789;2
10790;4
10791;4
10792;3
10793;6
10794;2
10795;4
10796;1
10797;1
10798;1
10799;3
10800;7
10801;7
10802;4
10803;5
10804;3
10805;3
10806;3
10807;1
10808;5
10809;0
10810;5
10811;4
10812;2
10813;0
10814;3
10815;3
10816;2
10817;3
10818;1
10819;2
10820;3
10821;3
10822;3
10823;2
10824;1
10825;6
10826;3
10827;3
10828;3
10829;6
10830;3
10831;3
10832;3
10833;1
10834;2
10835;5
10836;0
10837;6
10838;3
10839;7
10840;6
10841;2
10842;2
10843;1
10844;7
10845;6
10846;7
10847;3
10848;2
10849;3
10850;5
10851;4
10852;3
10853;2
10854;3
10855;4
10856;3
10857;1
10858;3
10859;1
10860;5
10861;3
10862;5
10863;3
10864;5
10865;3
10866;2
10867;6
10868;3
10869;2
10870;3
10871;5
10872;2
10873;3
10874;4
10875;2
10876;2
10877;6
10878;3
10879;6
10880;4
10881;5
10882;4
10883;3
10884;4
10885;4
10886;2
10887;4
10888;1
10889;1
10890;5
10891;2
10892;5
10893;3
10894;3
10895;4
10896;4
10897;3
10898;5
10899;1
10900;2
10901;6
10902;2
10903;3
10904;4
10905;3
10906;2
10907;2
10908;2
10909;3
10910;2
10911;5
10912;2
10913;2
10914;2
10915;5
10916;2
10917;2
10918;4
10919;3
10920;5
10921;2
10922;3
10923;2
10924;2
10925;1
10926;1
10927;1
10928;3
10929;4
10930;5
10931;3
10932;3
10933;6
10934;3
10935;5
10936;1
10937;3
10938;4
10939;3
10940;3
10941;3
10942;4
10943;4
10944;3
10945;4
10946;3
10947;2
10948;3
10949;5
10950;1
10951;0
10952;1
10953;5
10954;5
10955;2
10956;5
10957;2
10958;2
10959;2
10960;3
10961;3
10962;5
10963;6
10964;2
10965;4
10966;2
10967;2
10968;6
10969;6
10970;3
10971;2
10972;2
10973;5
10974;2
10975;3
10976;0
10977;3
10978;2
10979;3
10980;2
10981;6
10982;5
10983;4
10984;1
10985;4
10986;5
10987;5
10988;8
10989;2
10990;4
10991;3
10992;3
10993;3
10994;3
10995;6
10996;3
10997;5
10998;5
10999;2
11000;3
11001;2
11002;1
11003;1
11004;4
11005;0
11006;4
11007;9
11008;2
11009;4
11010;3
11011;7
11012;3
11013;2
11014;4
11015;6
11016;0
11017;6
11018;6
11019;3
11020;1
11021;0
11022;2
11023;2
11024;5
11025;2
11026;4
11027;5
11028;4
11029;2
11030;4
11031;3
11032;2
